alt,src,price,target,store,clothesType,clothesColor
"BLUSA M34 CON RUCHE FRONTAL, H&O, ROJO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h20/h91/11430339477534/16745766-0_product_300Wx450H,"$27,99",mujer,De Prati,blusa,rojo
"ENTERIZO TIRAS CORTO, H&O, NEGRO, 65% Poliester  35% Algodón",https://images.deprati.com.ec/sys-master/images/hcd/hb5/11430315458590/16740736-0_product_300Wx450H,"$29,99",mujer,De Prati,enterizo,negro
"ENTERIZO HALTER LARGO, H&O, AZUL COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h64/h48/11430316572702/16740821-0_product_300Wx450H,"$39,98",mujer,De Prati,enterizo,azul
"BLUSA CORSET EN PUNTA, H&O TRYBU, NEGRO, 93% POLIESTER 7% ELASTANO",https://images.deprati.com.ec/sys-master/images/hef/h96/11442507382814/16723850-0_product_300Wx450H,"$23,99",mujer,De Prati,blusa,negro
"CAMISERO ML CON PRINTS, EXPRESSIONS, CRUDO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/ha9/heb/11440854499358/16712470-0_product_300Wx450H,"$35,99",mujer,De Prati,camisero,crudo
"CAMISETA CORSET TIRAS UNICOLOR, H&O TRYBU, DORADO, 96% POLIESTER 4% ELASTANO",https://images.deprati.com.ec/sys-master/images/hde/hd0/11441529782302/16754506-0_product_300Wx450H,"$10,00",mujer,De Prati,camiseta,dorado
"CAMISETA MC ESTAMPADA, H&O TRYBU, LILA, 100% algodón",https://images.deprati.com.ec/sys-master/images/h55/h2d/11432095842334/16755471-0_product_300Wx450H,"$13,99",mujer,De Prati,camiseta,lila
"CAMISETA MC ESTAMPADA, H&O TRYBU, CRUDO, 100% algodón",https://images.deprati.com.ec/sys-master/images/h6b/h0d/11432134836254/16775883-0_product_300Wx450H,"$13,99",mujer,De Prati,camiseta,crudo
"VESTIDO TIRAS PRINT, H&O, NEGRO COMBINADO, 96% POLIESTER 4% SPANDEX",https://images.deprati.com.ec/sys-master/images/h9d/h2f/11430309888030/16738540-0_product_300Wx450H,"$35,99",mujer,De Prati,vestido,negro
"FALDA CORTA UNICOLOR, H&O, LILA, 100% algodón",https://images.deprati.com.ec/sys-master/images/h12/ha7/11430360940574/16749231-0_product_300Wx450H,"$35,99",mujer,De Prati,falda,lila
"SET BLUSA  Y SWEATER CROPPED, H&O, NEGRO COMBINADO, 72% POLIESTER 19% ALGODON 6%ELASTANO",https://images.deprati.com.ec/sys-master/images/hde/h02/11412261306398/16745704-0_product_300Wx450H,"$23,99",mujer,De Prati,blusa,negro
"BLUSA TIRAS CON HERRAJES Y RUCHES LATERALES, H&O, LILA, 87% POLIESTER 13%ELASTANO",https://images.deprati.com.ec/sys-master/images/haa/hd7/11412255277086/16745698-0_product_300Wx450H,"$10,00",mujer,De Prati,blusa,lila
"BLUSA TIRAS UNICOLOR DETALLE EN ESPALDA, H&O, LILA, 97% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/h28/hf8/11412187414558/16738261-0_product_300Wx450H,"$12,00",mujer,De Prati,blusa,lila
