alt,src,price
"BLUSA HALTER C PEDRERÍA, H&O, CRUDO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hc7/h2b/11404442796062/16695806-0_product_300Wx450H,"$23,99"
"BLUSA MC MESH, H&O, ROJO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h3b/h11/11403345231902/16695801-0_product_300Wx450H,"$23,99"
"BLUSA SISA CON APLIQUE, H&O, PALO ROSA, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h10/h58/11403362467870/16695836-0_product_300Wx450H,"$23,99"
"CORSET PRINT, H&O, NEGRO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h1f/he8/11403335008286/16695591-0_product_300Wx450H,"$27,99"
"BLUSA ML UNICOLOR, H&O, LILA, 94% POLIESTER 6% ELASTANO",https://images.deprati.com.ec/sys-master/images/hc2/h1f/11404707790878/16696046-0_product_300Wx450H,"$27,99"
"PANTALON SLIM LARGO, EXPRESSIONS, NEGRO, 97% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/ha2/h81/11401055567902/16712424-0_product_300Wx450H,"$39,98"
"VESTIDO TIRAS SATINADO, H&O, ROJO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hd4/ha7/11385341280286/16718649-0_product_300Wx450H,"$29,99"
"BLUSA OPEN SHOULDERS UNICOLOR, H&O, ROJO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hca/h3b/11403406082078/16696209-0_product_300Wx450H,"$27,99"
"BLUSA MC CUELLO REDONDO CON PINZAS, ISABELLA, MAGENTA, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h76/h7d/11401516810270/16701566-0_product_300Wx450H,"$29,99"
"BODY ML UNICOLOR, H&O, NEGRO, 96% POLIESTER 4% ELASTANO",https://images.deprati.com.ec/sys-master/images/h42/h99/11385668763678/16695817-0_product_300Wx450H,"$29,99"
"ENTERIZO LARGO ML, H&O, AZUL REY, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hd3/h2f/11385334595614/16718643-0_product_300Wx450H,"$45,99"
"ENTERIZO LARGO ML, H&O, ROJO, 94% POLIESTER 6% ELASTANO",https://images.deprati.com.ec/sys-master/images/hbb/h8a/11407958048798/16718943-0_product_300Wx450H,"$45,99"
"CARDIGAN UNICOLOR C BOTONES, H&O, LILA, 100% ACRILICO",https://images.deprati.com.ec/sys-master/images/h81/h0e/11397251858462/16731076-0_product_300Wx450H,"$29,99"
"CAMISETA CUELLO ALTO ASIMETRICA, H&O, NEGRO, 100% ACRILICO",https://images.deprati.com.ec/sys-master/images/h37/hd3/11395945725982/16730895-0_product_300Wx450H,"$19,99"
"CAMISETA HALTER CUELLO EN V, ISABELLA, CRUDO, 76%POLIESTER 18%VISCOSA 6%ELASTANO",https://images.deprati.com.ec/sys-master/images/hc7/h93/11382387834910/16740943-0_product_300Wx450H,"$19,99"
"CAMISETA MSIS CUELLO ALTO, ISABELLA, NEGRO, 50% VISCOSA 48% POLIESTER 2% ELASTANO",https://images.deprati.com.ec/sys-master/images/h4d/h1a/11373930381342/16740504-0_product_300Wx450H,"$19,99"
"FALDA LARGA CON RUCHE LATERAL, H&O, GRIS JASPE, 65% Poliester  35% Algodón",https://images.deprati.com.ec/sys-master/images/hdc/h8d/11384524800030/16740792-0_product_300Wx450H,"$23,99"
"BLAZER ML SIN SOLAPA, EXPRESSIONS, HABANO, 95% POLIESTER 5% ELASTANO",https://images.deprati.com.ec/sys-master/images/h23/h8c/11383288561694/16712341-0_product_300Wx450H,"$59,99"
"PANTALON WIDE LEG PRINT, H&O, NEGRO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/hc3/hd5/11373592379422/16719377-0_product_300Wx450H,"$39,98"
